Sample,X,Y
Heterozygous alleles,1.55,1.02
Heterozygous alleles,1.47,0.95
Heterozygous alleles,1.42,0.89
Heterozygous alleles,1.5,0.96
Heterozygous alleles,1.99,1.26
Heterozygous alleles,1.84,1.17
Heterozygous alleles,2.16,1.27
Heterozygous alleles,1.73,1.13
Heterozygous alleles,1.75,1.13
Heterozygous alleles,1.86,1.23
Heterozygous alleles,2.04,1.35
Heterozygous alleles,2.02,1.35
Heterozygous alleles,1.86,1.22
Heterozygous alleles,1.39,0.95
Heterozygous alleles,2.01,1.33
Heterozygous alleles,2.02,1.33
Heterozygous alleles,2.21,1.44
Heterozygous alleles,2.19,1.42
Heterozygous alleles,1.98,1.31
Heterozygous alleles,2.21,1.44
Heterozygous alleles,1.61,1.07
Heterozygous alleles,1.94,1.28
Heterozygous alleles,1.74,1.14
Heterozygous alleles,2.12,1.4
Heterozygous alleles,1.91,1.21
Heterozygous alleles,1.94,1.24
Heterozygous alleles,1.87,1.2
Heterozygous alleles,1.91,1.23
Heterozygous alleles,1.97,1.26
Heterozygous alleles,1.77,1.13
Heterozygous alleles,2,1.26
Heterozygous alleles,1.91,1.24
Heterozygous alleles,1.89,1.22
Heterozygous alleles,2.13,1.4
Heterozygous alleles,1.97,1.3
Heterozygous alleles,2.03,1.33
Heterozygous alleles,1.89,1.23
Heterozygous alleles,1.99,1.3
Heterozygous alleles,2.17,1.43
Heterozygous alleles,2.09,1.38
Heterozygous alleles,1.62,1.09
Heterozygous alleles,2.16,1.44
Heterozygous alleles,2.06,1.35
Heterozygous alleles,2.1,1.38
Heterozygous alleles,2.1,1.36
Heterozygous alleles,2.47,1.6
Heterozygous alleles,2.32,1.51
Heterozygous alleles,2.32,1.5
FAM alleles,2.86,0.72
FAM alleles,2.83,0.71
FAM alleles,3.28,0.81
FAM alleles,2.86,0.72
FAM alleles,3.3,0.82
FAM alleles,2.89,0.74
FAM alleles,2.91,0.72
FAM alleles,3.05,0.75
FAM alleles,3.06,0.77
HEX alleles,0.52,2.28
HEX alleles,0.62,2.76
HEX alleles,0.61,2.67
HEX alleles,0.59,2.63
HEX alleles,0.55,2.48
HEX alleles,0.58,2.52
HEX alleles,0.57,2.47
HEX alleles,0.61,2.52
HEX alleles,0.58,2.56
NTC,0.31,0.45
NTC,0.3,0.44
NTC,0.4,0.52
